                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.67405,                0.49862,                0.96318,                0.92409,                0.88837,                0.93856,                0.81686,                0.56526,                0.38008,                0.85527,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     61,                0.65081,                 0.4813,                0.95516,                0.91687,                0.88747,                 0.9384,                0.82161,                0.56459,                0.37874,                0.85428,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     62,                0.67145,                0.49398,                0.95304,                0.89448,                0.89589,                0.93842,                0.82159,                 0.5646,                0.37721,                0.85411,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     63,                0.66185,                0.49712,                0.94453,                 0.8718,                0.90936,                0.93858,                0.82201,                0.56384,                0.37712,                0.85384,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     64,                0.62865,                 0.4877,                0.93332,                0.92617,                0.87356,                 0.9398,                0.82433,                0.56248,                0.37765,                0.85368,              4.478e-05,              4.478e-05,              4.478e-05
                     65,                0.63294,                0.48657,                0.94573,                 0.8913,                0.90968,                0.93966,                 0.8237,                0.56055,                 0.3757,                0.85309,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     66,                0.62577,                0.47849,                0.93739,                0.89102,                0.91044,                0.94119,                0.82772,                0.55548,                0.37037,                0.85143,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     67,                0.63395,                0.47863,                0.93034,                0.90383,                0.90633,                0.94036,                0.82744,                0.55221,                0.36948,                0.84998,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     68,                0.65066,                0.48607,                0.96657,                0.90448,                0.90457,                0.94089,                0.82824,                0.55142,                0.36933,                0.84891,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     69,                0.65011,                0.49079,                0.95188,                 0.9065,                0.90313,                 0.9413,                0.82891,                0.55088,                 0.3691,                0.84857,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     70,                0.65618,                0.48881,                0.94492,                0.91661,                0.89837,                0.94196,                0.82669,                 0.5489,                0.36893,                0.84816,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     71,                0.66054,                0.47869,                 0.9532,                0.92628,                0.89058,                0.94211,                 0.8271,                0.54733,                0.36925,                0.84759,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     72,                0.65551,                0.46914,                0.93599,                 0.9318,                0.88845,                0.94202,                0.82596,                 0.5459,                0.36756,                0.84704,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     73,                0.63188,                0.46617,                0.93351,                0.93687,                0.88343,                0.94213,                0.82715,                0.54427,                0.36699,                 0.8462,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     74,                0.62569,                0.46155,                0.94301,                0.92548,                0.89388,                0.94157,                0.82713,                0.54232,                0.36725,                0.84547,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     75,                0.62282,                0.45545,                0.94618,                0.92211,                0.89827,                0.94133,                0.82537,                0.54069,                0.36656,                0.84492,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     76,                0.65534,                0.47024,                0.94667,                0.92343,                0.89895,                0.94247,                0.82848,                0.53898,                 0.3639,                0.84431,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     77,                0.61362,                0.43899,                0.94093,                0.92177,                0.90076,                0.94269,                0.82628,                0.53618,                0.36221,                0.84359,             2.9464e-05,             2.9464e-05,             2.9464e-05
